year,month,day,phase,percentage,darkFaces
1997,jan,2,half_new,0.5,right
1997,jan,9,new,1,right
1997,jan,15,half_full,2,left
1997,jan,23,full,3.14,left
1997,jan,31,half_new,0.5,right
1997,feb,7,new,1,right
1997,feb,14,half_full,2,left
1997,feb,22,full,0,left
1997,mar,2,half_new,0.5,right
1997,mar,9,new,1,right
1997,mar,16,half_full,2,left
1997,mar,24,full,0,left
1997,mar,31,half_new,0.5,right
1997,apr,7,new,1,right
1997,apr,14,half_full,2,left
1997,apr,22,full,0,left
1997,apr,30,half_new,0.5,right
1997,may,6,new,1,right
1997,may,14,half_full,2,left
1997,may,22,full,0,left
1997,may,29,half_new,0.5,right
1997,jun,5,new,1,right
1997,jun,13,half_full,2,left
1997,jun,20,full,0,left
1997,jun,27,half_new,0.5,right
1997,jul,4,new,1,right
1997,jul,12,half_full,2,left
1997,jul,20,full,0,left
1997,jul,27,half_new,0.5,right
1997,aug,3,new,1,right
1997,aug,11,half_full,2,left
1997,aug,18,full,0,left
1997,aug,25,half_new,0.5,right
1997,sep,2,new,1,right
1997,sep,10,half_full,2,left
1997,sep,16,full,0,left
1997,sep,23,half_new,0.5,right
1997,oct,1,new,1,right
1997,oct,9,half_full,2,left
1997,oct,16,full,0,left
1997,oct,23,half_new,0.5,right
1997,oct,31,new,1,right
1997,nov,7,half_full,2,left
1997,nov,14,full,0,left
1997,nov,22,half_new,0.5,right
1997,nov,30,new,1,right
1997,dec,7,half_full,2,left
1997,dec,14,full,0,left
1997,dec,21,half_new,0.5,right
1997,dec,29,new,1,right
1998,jan,5,half_full,2,left
1998,jan,12,full,0,left
1998,jan,20,half_new,0.5,right
1998,jan,28,new,1,right
1998,feb,3,half_full,2,left
1998,feb,11,full,0,left
1998,feb,19,half_new,0.5,right
1998,feb,26,new,1,right
1998,mar,5,half_full,2,left
1998,mar,13,full,0,left
1998,mar,21,half_new,0.5,right
1998,mar,28,new,1,right
1998,apr,3,half_full,2,left
1998,apr,12,full,0,left
1998,apr,19,half_new,0.5,right
1998,apr,26,new,1,right
1998,may,3,half_full,2,left
1998,may,11,full,0,left
1998,may,19,half_new,0.5,right
1998,may,25,new,1,right
1998,jun,2,half_full,2,left
1998,jun,10,full,0,left
1998,jun,17,half_new,0.5,right
1998,jun,24,new,1,right
1998,jul,1,half_full,2,left
1998,jul,9,full,0,left
1998,jul,16,half_new,0.5,right
1998,jul,23,new,1,right
1998,jul,31,half_full,2,left
1998,aug,8,full,0,left
1998,aug,14,half_new,0.5,right
1998,aug,22,new,1,right
1998,aug,30,half_full,2,left
1998,sep,6,full,0,left
1998,sep,13,half_new,0.5,right
1998,sep,20,new,1,right
1998,sep,28,half_full,2,left
1998,oct,5,full,0,left
1998,oct,12,half_new,0.5,right
1998,oct,20,new,1,right
1998,oct,28,half_full,2,left
1998,nov,4,full,0,left
1998,nov,11,half_new,0.5,right
1998,nov,19,new,1,right
1998,nov,28,half_full,2,left
1998,dec,3,full,0,left
1998,dec,10,half_new,0.5,right
1998,dec,18,new,1,right
1998,dec,26,half_full,2,left
1999,jan,2,full,0,left
1999,jan,9,half_new,0.5,right
1999,jan,17,new,1,right
1999,jan,24,half_full,2,left
1999,jan,31,full,0,left
1999,feb,8,half_new,0.5,right
1999,feb,16,new,1,right
1999,feb,23,half_full,2,left
1999,mar,2,full,0,left
1999,mar,10,half_new,0.5,right
1999,mar,17,new,1,right
1999,mar,24,half_full,2,left
1999,apr,1,full,0,left
1999,apr,9,half_new,0.5,right
1999,apr,16,new,1,right
1999,apr,22,half_full,2,left
1999,apr,30,full,0,left
1999,may,8,half_new,0.5,right
1999,may,15,new,1,right
1999,may,22,half_full,2,left
1999,may,30,full,0,left
1999,jun,7,half_new,0.5,right
1999,jun,13,new,1,right
1999,jun,20,half_full,2,left
1999,jun,28,full,0,left
1999,jul,6,half_new,0.5,right
1999,jul,13,new,1,right
1999,jul,20,half_full,2,left
1999,jul,28,full,0,left
1999,aug,4,half_new,0.5,right
1999,aug,11,new,1,right
1999,aug,19,half_full,2,left
1999,aug,27,full,0,left
1999,sep,3,half_new,0.5,right
1999,sep,10,new,1,right
1999,sep,17,half_full,2,left
1999,sep,25,full,0,left
1999,oct,2,half_new,0.5,right
1999,oct,9,new,1,right
1999,oct,17,half_full,2,left
1999,oct,24,full,0,left
1999,oct,31,half_new,0.5,right
1999,nov,8,new,1,right
1999,nov,16,half_full,2,left
1999,nov,23,full,0,left
1999,nov,30,half_new,0.5,right
1999,dec,7,new,1,right
1999,dec,16,half_full,2,left
1999,dec,22,full,0,left
1999,dec,29,half_new,0.5,right
2000,jan,6,new,1,right
2000,jan,14,half_full,2,left
2000,jan,21,full,0,left
2000,jan,28,half_new,0.5,right
2000,feb,5,new,1,right
2000,feb,13,half_full,2,left
2000,feb,19,full,0,left
2000,feb,27,half_new,0.5,right
2000,mar,6,new,1,right
2000,mar,13,half_full,2,left
2000,mar,20,full,0,left
2000,mar,28,half_new,0.5,right
2000,apr,4,new,1,right
2000,apr,11,half_full,2,left
2000,apr,18,full,0,left
2000,apr,26,half_new,0.5,right
2000,may,4,new,1,right
2000,may,10,half_full,2,left
2000,may,18,full,0,left
2000,may,26,half_new,0.5,right
2000,jun,2,new,1,right
2000,jun,9,half_full,2,left
2000,jun,17,full,0,left
2000,jun,25,half_new,0.5,right
2000,jul,1,new,1,right
2000,jul,8,half_full,2,left
2000,jul,16,full,0,left
2000,jul,24,half_new,0.5,right
2000,jul,31,new,1,right
2000,aug,7,half_full,2,left
2000,aug,15,full,0,left
2000,aug,22,half_new,0.5,right
2000,aug,29,new,1,right
2000,sep,5,half_full,2,left
2000,sep,13,full,0,left
2000,sep,21,half_new,0.5,right
2000,sep,27,new,1,right
2000,oct,5,half_full,2,left
2000,oct,13,full,0,left
2000,oct,20,half_new,0.5,right
2000,oct,27,new,1,right
2000,nov,4,half_full,2,left
2000,nov,11,full,0,left
2000,nov,18,half_new,0.5,right
2000,nov,26,new,1,right
2000,dec,4,half_full,2,left
2000,dec,11,full,0,left
2000,dec,18,half_new,0.5,right
2000,dec,25,new,1,right
2001,jan,2,half_full,2,left
2001,jan,9,full,0,left
2001,jan,16,half_new,0.5,right
2001,jan,24,new,1,right
2001,feb,1,half_full,2,left
2001,feb,8,full,0,left
2001,feb,15,half_new,0.5,right
2001,feb,23,new,1,right
2001,mar,3,half_full,2,left
2001,mar,9,full,0,left
2001,mar,16,half_new,0.5,right
2001,mar,25,new,1,right
2001,apr,1,half_full,2,left
2001,apr,8,full,0,left
2001,apr,15,half_new,0.5,right
2001,apr,23,new,1,right
2001,apr,30,half_full,2,left
2001,may,7,full,0,left
2001,may,15,half_new,0.5,right
2001,may,23,new,1,right
2001,may,30,half_full,2,left
2001,jun,6,full,0,left
2001,jun,14,half_new,0.5,right
2001,jun,21,new,1,right
2001,jun,28,half_full,2,left
2001,jul,5,full,0,left
2001,jul,13,half_new,0.5,right
2001,jul,20,new,1,right
2001,jul,27,half_full,2,left
2001,aug,4,full,0,left
2001,aug,12,half_new,0.5,right
2001,aug,19,new,1,right
2001,aug,25,half_full,2,left
2001,sep,2,full,0,left
2001,sep,10,half_new,0.5,right
2001,sep,17,new,1,right
2001,sep,24,half_full,2,left
2001,oct,2,full,0,left
2001,oct,10,half_new,0.5,right
2001,oct,16,new,1,right
2001,oct,24,half_full,2,left
2001,nov,1,full,0,left
2001,nov,8,half_new,0.5,right
2001,nov,15,new,1,right
2001,nov,23,half_full,2,left
2001,nov,30,full,0,left
2001,dec,7,half_new,0.5,right
2001,dec,14,new,1,right
2001,dec,22,half_full,2,left
2001,dec,30,full,0,left
2002,jan,6,half_new,0.5,right
2002,jan,13,new,1,right
2002,jan,21,half_full,2,left
2002,jan,28,full,0,left
2002,feb,4,half_new,0.5,right
2002,feb,12,new,1,right
2002,feb,20,half_full,2,left
2002,feb,27,full,0,left
2002,mar,6,half_new,0.5,right
2002,mar,14,new,1,right
2002,mar,22,half_full,2,left
2002,mar,28,full,0,left
2002,apr,4,half_new,0.5,right
2002,apr,12,new,1,right
2002,apr,20,half_full,2,left
2002,apr,27,full,0,left
2002,may,4,half_new,0.5,right
2002,may,12,new,1,right
2002,may,19,half_full,2,left
2002,may,26,full,0,left
2002,jun,3,half_new,0.5,right
2002,jun,11,new,1,right
2002,jun,18,half_full,2,left
2002,jun,24,full,0,left
2002,jul,2,half_new,0.5,right
2002,jul,10,new,1,right
2002,jul,17,half_full,2,left
2002,jul,24,full,0,left
2002,aug,1,half_new,0.5,right
2002,aug,8,new,1,right
2002,aug,15,half_full,2,left
2002,aug,23,full,0,left
2002,aug,31,half_new,0.5,right
2002,sep,7,new,1,right
2002,sep,13,half_full,2,left
2002,sep,21,full,0,left
2002,sep,29,half_new,0.5,right
2002,oct,6,new,1,right
2002,oct,13,half_full,2,left
2002,oct,21,full,0,left
2002,oct,29,half_new,0.5,right
2002,nov,4,new,1,right
2002,nov,11,half_full,2,left
2002,nov,20,full,0,left
2002,nov,27,half_new,0.5,right
2002,dec,4,new,1,right
2002,dec,11,half_full,2,left
2002,dec,19,full,0,left
2002,dec,27,half_new,0.5,right
2003,jan,2,new,1,right
2003,jan,10,half_full,2,left
2003,jan,18,full,0,left
2003,jan,25,half_new,0.5,right
2003,feb,1,new,1,right
2003,feb,9,half_full,2,left
2003,feb,17,full,0,left
2003,feb,23,half_new,0.5,right
2003,mar,3,new,1,right
2003,mar,11,half_full,2,left
2003,mar,18,full,0,left
2003,mar,25,half_new,0.5,right
2003,apr,1,new,1,right
2003,apr,10,half_full,2,left
2003,apr,16,full,0,left
2003,apr,23,half_new,0.5,right
2003,may,1,new,1,right
2003,may,9,half_full,2,left
2003,may,16,full,0,left
2003,may,23,half_new,0.5,right
2003,may,31,new,1,right
2003,jun,7,half_full,2,left
2003,jun,14,full,0,left
2003,jun,21,half_new,0.5,right
2003,jun,29,new,1,right
2003,jul,7,half_full,2,left
2003,jul,13,full,0,left
2003,jul,21,half_new,0.5,right
2003,jul,29,new,1,right
2003,aug,5,half_full,2,left
2003,aug,12,full,0,left
2003,aug,20,half_new,0.5,right
2003,aug,27,new,1,right
2003,sep,3,half_full,2,left
2003,sep,10,full,0,left
2003,sep,18,half_new,0.5,right
2003,sep,26,new,1,right
2003,oct,2,half_full,2,left
2003,oct,10,full,0,left
2003,oct,18,half_new,0.5,right
2003,oct,25,new,1,right
2003,nov,1,half_full,2,left
2003,nov,9,full,0,left
2003,nov,17,half_new,0.5,right
2003,nov,23,new,1,right
2003,nov,30,half_full,2,left
2003,dec,8,full,0,left
2003,dec,16,half_new,0.5,right
2003,dec,23,new,1,right
2003,dec,30,half_full,2,left
2004,jan,7,full,0,left
2004,jan,15,half_new,0.5,right
2004,jan,21,new,1,right
2004,jan,29,half_full,2,left
2004,feb,6,full,0,left
2004,feb,13,half_new,0.5,right
2004,feb,20,new,1,right
2004,feb,28,half_full,2,left
2004,mar,7,full,0,left
2004,mar,13,half_new,0.5,right
2004,mar,20,new,1,right
2004,mar,29,half_full,2,left
2004,apr,5,full,0,left
2004,apr,12,half_new,0.5,right
2004,apr,19,new,1,right
2004,apr,27,half_full,2,left
2004,may,4,full,0,left
2004,may,11,half_new,0.5,right
2004,may,19,new,1,right
2004,may,27,half_full,2,left
2004,jun,3,full,0,left
2004,jun,9,half_new,0.5,right
2004,jun,17,new,1,right
2004,jun,25,half_full,2,left
2004,jul,2,full,0,left
2004,jul,9,half_new,0.5,right
2004,jul,17,new,1,right
2004,jul,25,half_full,2,left
2004,jul,31,full,0,left
2004,aug,8,half_new,0.5,right
2004,aug,16,new,1,right
2004,aug,23,half_full,2,left
2004,aug,30,full,0,left
2004,sep,6,half_new,0.5,right
2004,sep,14,new,1,right
2004,sep,21,half_full,2,left
2004,sep,28,full,0,left
2004,oct,6,half_new,0.5,right
2004,oct,14,new,1,right
2004,oct,20,half_full,2,left
2004,oct,28,full,0,left
2004,nov,5,half_new,0.5,right
2004,nov,12,new,1,right
2004,nov,19,half_full,2,left
2004,nov,26,full,0,left
2004,dec,5,half_new,0.5,right
2004,dec,12,new,1,right
2004,dec,18,half_full,2,left
2004,dec,26,full,0,left
2005,jan,3,half_new,0.5,right
2005,jan,10,new,1,right
2005,jan,17,half_full,2,left
2005,jan,25,full,0,left
2005,feb,2,half_new,0.5,right
2005,feb,8,new,1,right
2005,feb,16,half_full,2,left
2005,feb,24,full,0,left
2005,mar,3,half_new,0.5,right
2005,mar,10,new,1,right
2005,mar,17,half_full,2,left
2005,mar,25,full,0,left
2005,apr,2,half_new,0.5,right
2005,apr,8,new,1,right
2005,apr,16,half_full,2,left
2005,apr,24,full,0,left
2005,may,1,half_new,0.5,right
2005,may,8,new,1,right
2005,may,16,half_full,2,left
2005,may,23,full,0,left
2005,may,30,half_new,0.5,right
2005,jun,6,new,1,right
2005,jun,15,half_full,2,left
2005,jun,22,full,0,left
2005,jun,28,half_new,0.5,right
2005,jul,6,new,1,right
2005,jul,14,half_full,2,left
2005,jul,21,full,0,left
2005,jul,28,half_new,0.5,right
2005,aug,5,new,1,right
2005,aug,13,half_full,2,left
2005,aug,19,full,0,left
2005,aug,26,half_new,0.5,right
2005,sep,3,new,1,right
2005,sep,11,half_full,2,left
2005,sep,18,full,0,left
2005,sep,25,half_new,0.5,right
2005,oct,3,new,1,right
2005,oct,10,half_full,2,left
2005,oct,17,full,0,left
2005,oct,25,half_new,0.5,right
2005,nov,2,new,1,right
2005,nov,9,half_full,2,left
2005,nov,16,full,0,left
2005,nov,23,half_new,0.5,right
2005,dec,1,new,1,right
2005,dec,8,half_full,2,left
2005,dec,15,full,0,left
2005,dec,23,half_new,0.5,right
2005,dec,31,new,1,right
2006,jan,6,half_full,2,left
2006,jan,14,full,0,left
2006,jan,22,half_new,0.5,right
2006,jan,29,new,1,right
2006,feb,5,half_full,2,left
2006,feb,13,full,0,left
2006,feb,21,half_new,0.5,right
2006,feb,28,new,1,right
2006,mar,6,half_full,2,left
2006,mar,15,full,0,left
2006,mar,22,half_new,0.5,right
2006,mar,28,new,1,right
2006,apr,5,half_full,2,left
2006,apr,13,full,0,left
2006,apr,21,half_new,0.5,right
2006,apr,27,new,1,right
2006,may,5,half_full,2,left
2006,may,13,full,0,left
2006,may,20,half_new,0.5,right
2006,may,27,new,1,right
2006,jun,4,half_full,2,left
2006,jun,11,full,0,left
2006,jun,18,half_new,0.5,right
2006,jun,25,new,1,right
2006,jul,3,half_full,2,left
2006,jul,11,full,0,left
2006,jul,17,half_new,0.5,right
2006,jul,25,new,1,right
2006,aug,2,half_full,2,left
2006,aug,9,full,0,left
2006,aug,16,half_new,0.5,right
2006,aug,23,new,1,right
2006,sep,1,half_full,2,left
2006,sep,7,full,0,left
2006,sep,14,half_new,0.5,right
2006,sep,22,new,1,right
2006,sep,30,half_full,2,left
2006,oct,7,full,0,left
2006,oct,14,half_new,0.5,right
2006,oct,22,new,1,right
2006,oct,29,half_full,2,left
2006,nov,5,full,0,left
2006,nov,12,half_new,0.5,right
2006,nov,20,new,1,right
2006,nov,28,half_full,2,left
2006,dec,5,full,0,left
2006,dec,12,half_new,0.5,right
2006,dec,20,new,1,right
2006,dec,27,half_full,2,left
2007,jan,3,full,0,left
2007,jan,11,half_new,0.5,right
2007,jan,19,new,1,right
2007,jan,26,half_full,2,left
2007,feb,2,full,0,left
2007,feb,10,half_new,0.5,right
2007,feb,17,new,1,right
2007,feb,24,half_full,2,left
2007,mar,4,full,0,left
2007,mar,12,half_new,0.5,right
2007,mar,19,new,1,right
2007,mar,25,half_full,2,left
2007,apr,2,full,0,left
2007,apr,10,half_new,0.5,right
2007,apr,17,new,1,right
2007,apr,24,half_full,2,left
2007,may,2,full,0,left
2007,may,10,half_new,0.5,right
2007,may,16,new,1,right
2007,may,23,half_full,2,left
2007,jun,1,full,0,left
2007,jun,8,half_new,0.5,right
2007,jun,15,new,1,right
2007,jun,22,half_full,2,left
2007,jun,30,full,0,left
2007,aug,5,half_new,0.5,right
2007,aug,13,new,1,right
2007,aug,21,half_full,2,left
2007,aug,28,full,0,left
2007,sep,4,half_new,0.5,right
2007,sep,11,new,1,right
2007,sep,19,half_full,2,left
2007,sep,26,full,0,left
2007,oct,3,half_new,0.5,right
2007,oct,11,new,1,right
2007,oct,19,half_full,2,left
2007,oct,26,full,0,left
2007,nov,1,half_new,0.5,right
2007,nov,10,new,1,right
2007,nov,17,half_full,2,left
2007,nov,24,full,0,left
2007,dec,1,half_new,0.5,right
2007,dec,9,new,1,right
2007,dec,17,half_full,2,left
2007,dec,24,full,0,left
2007,dec,31,half_new,0.5,right
2008,jan,8,new,1,right
2008,jan,15,half_full,2,left
2008,jan,22,full,0,left
2008,jan,30,half_new,0.5,right
2008,feb,7,new,1,right
2008,feb,14,half_full,2,left
2008,feb,21,full,0,left
2008,feb,29,half_new,0.5,right
2008,mar,7,new,1,right
2008,mar,14,half_full,2,left
2008,mar,21,full,0,left
2008,mar,29,half_new,0.5,right
2008,apr,6,new,1,right
2008,apr,12,half_full,2,left
2008,apr,20,full,0,left
2008,apr,28,half_new,0.5,right
2008,may,5,new,1,right
2008,may,12,half_full,2,left
2008,may,20,full,0,left
2008,may,28,half_new,0.5,right
2008,jun,3,new,1,right
2008,jun,10,half_full,2,left
2008,jun,18,full,0,left
2008,jun,26,half_new,0.5,right
2008,jul,3,new,1,right
2008,jul,10,half_full,2,left
2008,jul,18,full,0,left
2008,jul,25,half_new,0.5,right
2008,aug,1,new,1,right
2008,aug,8,half_full,2,left
2008,aug,16,full,0,left
2008,aug,24,half_new,0.5,right
2008,aug,30,new,1,right
2008,sep,7,half_full,2,left
2008,sep,15,full,0,left
2008,sep,22,half_new,0.5,right
2008,sep,29,new,1,right
2008,oct,7,half_full,2,left
2008,oct,14,full,0,left
2008,oct,21,half_new,0.5,right
2008,oct,29,new,1,right
2008,nov,6,half_full,2,left
2008,nov,13,full,0,left
2008,nov,19,half_new,0.5,right
2008,nov,27,new,1,right
2008,dec,5,half_full,2,left
2008,dec,12,full,0,left
2008,dec,19,half_new,0.5,right
2008,dec,27,new,1,right
2009,jan,4,half_full,2,left
2009,jan,11,full,0,left
2009,jan,18,half_new,0.5,right
2009,jan,26,new,1,right
2009,feb,3,half_full,2,left
2009,feb,9,full,0,left
2009,feb,16,half_new,0.5,right
2009,feb,25,new,1,right
2009,mar,4,half_full,2,left
2009,mar,11,full,0,left
2009,mar,18,half_new,0.5,right
2009,mar,26,new,1,right
2009,apr,2,half_full,2,left
2009,apr,9,full,0,left
2009,apr,17,half_new,0.5,right
2009,apr,25,new,1,right
2009,may,1,half_full,2,left
2009,may,9,full,0,left
2009,may,17,half_new,0.5,right
2009,may,24,new,1,right
2009,may,31,half_full,2,left
2009,jun,7,full,0,left
2009,jun,16,half_new,0.5,right
2009,jun,22,new,1,right
2009,jun,29,half_full,2,left
2009,jul,7,full,0,left
2009,jul,15,half_new,0.5,right
2009,jul,22,new,1,right
2009,jul,28,half_full,2,left
2009,aug,6,full,0,left
2009,aug,13,half_new,0.5,right
2009,aug,20,new,1,right
2009,aug,27,half_full,2,left
2009,sep,4,full,0,left
2009,sep,12,half_new,0.5,right
2009,sep,18,new,1,right
2009,sep,26,half_full,2,left
2009,oct,4,full,0,left
2009,oct,11,half_new,0.5,right
2009,oct,18,new,1,right
2009,oct,26,half_full,2,left
2009,nov,2,full,0,left
2009,nov,9,half_new,0.5,right
2009,nov,16,new,1,right
2009,nov,24,half_full,2,left
2009,dec,2,full,0,left
2009,dec,9,half_new,0.5,right
2009,dec,16,new,1,right
2009,dec,24,half_full,2,left
2009,dec,31,full,0,left
2010,jan,7,half_new,0.5,right
2010,jan,15,new,1,right
2010,jan,23,half_full,2,left
2010,jan,30,full,0,left
2010,feb,6,half_new,0.5,right
2010,feb,14,new,1,right
2010,feb,22,half_full,2,left
2010,feb,28,full,0,left
2010,mar,7,half_new,0.5,right
2010,mar,15,new,1,right
2010,mar,23,half_full,2,left
2010,mar,30,full,0,left
2010,apr,6,half_new,0.5,right
2010,apr,14,new,1,right
2010,apr,21,half_full,2,left
2010,apr,28,full,0,left
2010,may,6,half_new,0.5,right
2010,may,14,new,1,right
2010,may,21,half_full,2,left
2010,may,28,full,0,left
2010,jun,5,half_new,0.5,right
2010,jun,12,new,1,right
2010,jun,19,half_full,2,left
2010,jun,26,full,0,left
2010,jul,4,half_new,0.5,right
2010,jul,11,new,1,right
2010,jul,18,half_full,2,left
2010,jul,26,full,0,left
2010,aug,3,half_new,0.5,right
2010,aug,10,new,1,right
2010,aug,16,half_full,2,left
2010,aug,24,full,0,left
2010,sep,1,half_new,0.5,right
2010,sep,8,new,1,right
2010,sep,15,half_full,2,left
2010,sep,23,full,0,left
2010,oct,1,half_new,0.5,right
2010,oct,7,new,1,right
2010,oct,14,half_full,2,left
2010,oct,23,full,0,left
2010,oct,30,half_new,0.5,right
2010,nov,6,new,1,right
2010,nov,12,half_full,2,left
2010,nov,21,full,0,left
2010,nov,28,half_new,0.5,right
2010,dec,5,new,1,right
2010,dec,13,half_full,2,left
2010,dec,21,full,0,left
2010,dec,28,half_new,0.5,right
2011,jan,4,new,1,right
2011,jan,12,half_full,2,left
2011,jan,19,full,0,left
2011,jan,26,half_new,0.5,right
2011,feb,3,new,1,right
2011,feb,11,half_full,2,left
2011,feb,18,full,0,left
2011,feb,25,half_new,0.5,right
2011,mar,4,new,1,right
2011,mar,13,half_full,2,left
2011,mar,19,full,0,left
2011,mar,26,half_new,0.5,right
2011,apr,3,new,1,right
2011,apr,11,half_full,2,left
2011,apr,18,full,0,left
2011,apr,25,half_new,0.5,right
2011,may,3,new,1,right
2011,may,10,half_full,2,left
2011,may,17,full,0,left
2011,may,24,half_new,0.5,right
2011,jun,1,new,1,right
2011,jun,9,half_full,2,left
2011,jun,15,full,0,left
2011,jun,23,half_new,0.5,right
2011,jul,1,new,1,right
2011,jul,8,half_full,2,left
2011,jul,15,full,0,left
2011,jul,23,half_new,0.5,right
2011,jul,30,new,1,right
2011,aug,6,half_full,2,left
2011,aug,13,full,0,left
2011,aug,21,half_new,0.5,right
2011,aug,29,new,1,right
2011,sep,4,half_full,2,left
2011,sep,12,full,0,left
2011,sep,20,half_new,0.5,right
2011,sep,27,new,1,right
2011,oct,4,half_full,2,left
2011,oct,12,full,0,left
2011,oct,20,half_new,0.5,right
2011,oct,26,new,1,right
2011,nov,2,half_full,2,left
